id,@id,addr:place,area,barrier,branch,building,building:levels,frequency,industrial,landuse,location,man_made,name,operator,operator:short,operator:wikidata,power,ref,roof:shape,source,start_date,street_cabinet,substation,utility,voltage,geometry,centroid
way/605954253,way/605954253,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-0.0471345 5.6990536, -0.0467348 5.6988774, -0.0464813 5.6993111, -0.0468957 5.6994539, -0.0471345 5.6990536))","(-0.04680919319038728, 5.699172638518283)"
way/629958932,way/629958932,,,,,,,,,,,,Yendi Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-0.0150229 9.457673, -0.0150462 9.4576624, -0.015906 9.4572731, -0.0156241 9.4566673, -0.0147409 9.4570672, -0.0150229 9.457673))","(-0.015323468206980703, 9.457170135133378)"
way/630263563,way/630263563,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-2.2229722 6.2473357, -2.2227289 6.2470495, -2.222403 6.2473233, -2.2226463 6.2476095, -2.2229722 6.2473357))","(-2.2226875999999995, 6.247329499999999)"
way/663822817,way/663822817,,,fence,,,,,,,outdoor,,"ECG Power Station ""H"" Achimota Bulk Supply Point",Electricity Company of Ghana,ECG,Q16733491,substation,,,,,,distribution,,161000,"POLYGON ((-0.2044085 5.6056394, -0.2041782 5.6059666, -0.2034442 5.6072023, -0.2040401 5.607606, -0.2041792 5.6075962, -0.2043401 5.6075253, -0.2046016 5.6072944, -0.2050294 5.6066965, -0.2053325 5.6062493, -0.2044085 5.6056394))","(-0.20437288371910084, 5.606671995200805)"
way/666445031,way/666445031,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-0.2682186 5.6590381, -0.2679853 5.6592902, -0.268437 5.6597041, -0.2686451 5.6594792, -0.2685731 5.6594132, -0.2685982 5.659386, -0.2682186 5.6590381))","(-0.2683226393737533, 5.6593700261195945)"
way/667708204,way/667708204,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-0.6457139 5.3880251, -0.6455687 5.3876988, -0.6451139 5.3878994, -0.6452591 5.3882257, -0.6457139 5.3880251))","(-0.6454139000000001, 5.387962249999999)"
way/667708205,way/667708205,,,,,,,,,,outdoor,,Winneba Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-0.6462444 5.3886435, -0.646 5.3881138, -0.6453493 5.3884113, -0.6455936 5.388941, -0.6462444 5.3886435))","(-0.6457968314493112, 5.388527403834801)"
way/669669283,way/669669283,,,,Takoradi,,,,,,,,Takoradi Sub-Station,Ghana Grid Company,,,substation,,,,,,,,161000,"POLYGON ((-1.737153 4.9608066, -1.7368816 4.9599221, -1.7354751 4.9603503, -1.7356593 4.9609508, -1.7367165 4.9606289, -1.7368036 4.960913, -1.737153 4.9608066))","(-1.736340303838018, 4.9604660213488465)"
way/672526714,way/672526714,,,,,,,,,,outdoor,,Aboadze Substation,,,,substation,,,,,,transmission,,330000;161000,"POLYGON ((-1.6600719 4.9735088, -1.6596445 4.9735311, -1.6595907 4.9725059, -1.6579485 4.9725915, -1.658007 4.9737063, -1.6586051 4.9736751, -1.6586242 4.974039, -1.6593382 4.9740018, -1.6594987 4.9739876, -1.6596277 4.9739781, -1.6596216 4.9738566, -1.6600456 4.9738345, -1.6620487 4.9737301, -1.6619723 4.9722748, -1.66076 4.972338, -1.6600125 4.9723769, -1.6600719 4.9735088))","(-1.660076329644753, 4.97314443199587)"
way/672567165,way/672567165,,,,,,,,,,outdoor,,,,,,substation,,,,,,transmission,,161000,"POLYGON ((-0.1074211 5.6517978, -0.1078489 5.6527227, -0.1096621 5.6519927, -0.1091927 5.6510345, -0.1086777 5.6512306, -0.1073916 5.6517391, -0.1074211 5.6517978))","(-0.10852184348430642, 5.651872869474397)"
